Metadata: {"arch":"arm64","console_log":["console.log","print"],"dist_size":37707457,"engine":"sablejs","repository":"https://github.com/sablejs/sablejs.git","revision":"f8236ffaeb8437230db1c3518971750586f6b842","revision_date":"2022-09-12","version":"1.1.0"}
compat-table/es6/Proxy.handler.setPrototypeOf.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.instances.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.no-prototype.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.revocable.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Reflect.apply.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.Array-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.Function-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.Promise-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.RegExp-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.new-target.js: SyntaxError: Unexpected token
compat-table/es6/Reflect.construct.third-argument.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.defineProperty.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.deleteProperty.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.getOwnPropertyDescriptor.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.getPrototypeOf.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.get.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.has.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.isExtensible.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.ownKeys.string.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.ownKeys.symbol.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Reflect.preventExtensions.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.setPrototypeOf.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.set.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/RegExp.Symbol.species.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.match.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.replace.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.search.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.split.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.flags.js: failed
compat-table/es6/Set.Symbol.species.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-accepts-null.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-arguments.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-invokes-add.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-requires-new.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.iterator-closing.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.iterator-prototype-chain.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype-not-instance.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.Symbol.iterator.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.add-returns-this.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.clear.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.delete.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.entries.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.forEach.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.keys.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.size.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.values.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.zero-key.js: ReferenceError: 'Set' is not defined
compat-table/es6/String.fromCodePoint.js: failed
compat-table/es6/String.iterator-prototype-chain.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/String.prototype.Symbol.iterator.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/String.prototype.codePointAt.js: failed
compat-table/es6/String.prototype.endsWith.js: failed
compat-table/es6/String.prototype.endsWith.throws-regex.js: failed
compat-table/es6/String.prototype.includes.js: failed
compat-table/es6/String.prototype.normalize.js: failed
compat-table/es6/String.prototype.repeat.js: failed
compat-table/es6/String.prototype.startsWith.js: failed
compat-table/es6/String.prototype.startsWith.throws-regex.js: failed
compat-table/es6/String.raw.js: failed
compat-table/es6/Symbol.JSON.stringify.object.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.JSON.stringify.primitive.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.Object.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.String.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.defineProperty.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.global-registry.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.hidden-keys.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.no-coerce.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.no-new.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.prototype.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.typeof.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/WeakMap.accept-primitives.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-accepts-null.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-arguments.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-invokes-set.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-requires-new.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.frozen-keys.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.iterator-closing.js: failed
compat-table/es6/WeakMap.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.no-clear.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype-not-instance.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype.delete.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype.set-returns-this.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakSet.accept-primitives.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-accepts-null.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-arguments.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-invokes-add.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-requires-new.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.iterator-closing.js: failed
compat-table/es6/WeakSet.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.no-clear.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype-not-instance.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.add-returns-this.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.delete.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/annex-b.RegExp.prototype.compile.js: failed
compat-table/es6/annex-b.RegExp.prototype.compile.returns-this.js: failed
compat-table/es6/annex-b.String.prototype.html.existence.js: failed
compat-table/es6/annex-b.String.prototype.html.lowercase.js: TypeError: undefined is not callable
compat-table/es6/annex-b.String.prototype.html.quotes-escaped.js: TypeError: undefined is not callable
compat-table/es6/annex-b.function.hoisted-block-level.js: failed
compat-table/es6/annex-b.function.if-statement.js: OK
compat-table/es6/annex-b.function.labeled.js: OK
compat-table/es6/annex-b.html-comments.js: OK
compat-table/es6/annex-b.regex.backreferences-octal.js: OK
compat-table/es6/annex-b.regex.hyphens.js: OK
compat-table/es6/annex-b.regex.incomplete-patterns.js: OK
compat-table/es6/annex-b.regex.invalid-char-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-control-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-hex-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-unicode-escapes.js: OK
compat-table/es6/annex-b.regex.octal-escapes.js: OK
compat-table/es6/annex-b.__proto__.Object.prototype.absent-from-null.js: OK
compat-table/es6/annex-b.__proto__.Object.prototype.descriptor.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.getOwnPropertyNames.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.get.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.hasOwnProperty.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.set.js: failed
compat-table/es6/annex-b.__proto__.literals.js: failed
compat-table/es6/annex-b.__proto__.literals.multiple-error.js: failed
compat-table/es6/annex-b.__proto__.literals.not-computed.js: SyntaxError: Unexpected token
compat-table/es6/annex-b.__proto__.literals.not-shorthand-method.js: SyntaxError: Unexpected token
compat-table/es6/annex-b.__proto__.literals.not-shorthand-property.js: SyntaxError: Unexpected token
compat-table/es6/arrow.0-params.js: SyntaxError: Unexpected token
compat-table/es6/arrow.1-param.js: SyntaxError: Unexpected token
compat-table/es6/arrow.5-param.js: SyntaxError: Parenthesized pattern
compat-table/es6/arrow.bind.js: SyntaxError: Unexpected token
compat-table/es6/arrow.lexical-arguments.js: SyntaxError: Unexpected token
compat-table/es6/arrow.lexical-super.constructor.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/arrow.lexical-super.methods.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/arrow.lexical-this.js: SyntaxError: Unexpected token
compat-table/es6/arrow.new-target.js: SyntaxError: Unexpected token
compat-table/es6/arrow.no-line-break.js: SyntaxError: Unexpected token
compat-table/es6/arrow.no-prototype.js: SyntaxError: Unexpected token
compat-table/es6/arrow.precedence.js: SyntaxError: Unexpected token
compat-table/es6/arrow.this-call-apply.js: SyntaxError: Unexpected token
compat-table/es6/class.accessor-properties.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.anonymous.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.block-scoped.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.computed-accessor-properties.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.computed-names-tdz.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.computed-prototype-methods.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.computed-static-accessor-properties.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.computed-static-methods.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.constructor-requires-new.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.constructor.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.expression.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.extends-expressions.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.extends-null.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.extends.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.implicit-strict.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.lexical-name.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.methods-not-enumerable.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.new-target.js: SyntaxError: Unexpected token
compat-table/es6/class.optional-semicolons.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.prototype-methods.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.statement.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.static-accessor-properties.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.static-methods.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/class.string-keyed-methods.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/const.basic.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.block-scoped.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.for-in.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.for-loop.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.for-of.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.no-redefine.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.no-statement.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.shadow.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.basic.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.block-scoped.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.for-in.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.for-loop.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.for-of.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.no-redefine.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.no-statement.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.shadow.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.strict.tdz.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/const.tdz.js: SyntaxError: The keyword 'const' is reserved
compat-table/es6/default-params.arguments.js: SyntaxError: Unexpected token
compat-table/es6/default-params.basic.js: SyntaxError: Unexpected token
compat-table/es6/default-params.explicit-undefined.js: SyntaxError: Unexpected token
compat-table/es6/default-params.new-function.js: SyntaxError: Unexpected token
compat-table/es6/default-params.refer-previous.js: SyntaxError: Unexpected token
compat-table/es6/default-params.separate-scope.js: SyntaxError: Unexpected token
compat-table/es6/default-params.tdz.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.array.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.astral-string.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.chained-iterable.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.chained-object.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.computed-properties.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.defaults.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.empty-patterns.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.generator.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.iterable-expression.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.iterable-instance.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.iterable.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.iterator-closing.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.nested-rest.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.nested.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.object-expression.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.object-primitives.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.object.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.parenthesised-error.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.rest.identical.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.rest.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.sparse-array.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.string.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.throws-null-undefined.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-assign.trailing-comma-iterable.js: SyntaxError: Assigning to rvalue
compat-table/es6/destructuring-assign.trailing-comma-object.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.array.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.astral-string.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.catch.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.computed-properties.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.defaults-tdz.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.defaults.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.for-in.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.for-of.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.generator.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.iterable-instance.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.iterable.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.iterator-closing.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.multiple-var.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.nested.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.object-primitives.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.object.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.rest.identical.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.rest.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.sparse-array.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.string.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.throws-null-undefined.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.trailing-comma-iterable.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-decl.trailing-comma-object.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.aliased-defaults-arrow.js: SyntaxError: Parenthesized pattern
compat-table/es6/destructuring-params.arguments.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.array.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.astral-string.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.computed-properties.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.defaults-new-function.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.defaults-separate-scope.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.defaults.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.duplicate-identifier.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.empty-patterns.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.generator.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.iterable-instance.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.iterable.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.iterator-closing.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.length.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.nested.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.new-function.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.object-primitives.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.object.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.rest.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.shorthand-defaults-arrow.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.sparse-array.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.string.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.throws-null-undefined.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.trailing-comma-iterable.js: SyntaxError: Unexpected token
compat-table/es6/destructuring-params.trailing-comma-object.js: SyntaxError: Unexpected token
compat-table/es6/for-of.array.js: SyntaxError: Unexpected token
compat-table/es6/for-of.astral-string.js: SyntaxError: Unexpected token
compat-table/es6/for-of.generator.js: SyntaxError: Unexpected token
compat-table/es6/for-of.iterable-instance.js: SyntaxError: Unexpected token
compat-table/es6/for-of.iterable.js: SyntaxError: Unexpected token
compat-table/es6/for-of.iterator-closing-break.js: SyntaxError: Unexpected token
compat-table/es6/for-of.iterator-closing-throw.js: SyntaxError: Unexpected token
compat-table/es6/for-of.sparse-array.js: SyntaxError: Unexpected token
compat-table/es6/for-of.string.js: SyntaxError: Unexpected token
compat-table/es6/function.block-level-decl.js: failed
compat-table/es6/generators.basic.js: SyntaxError: Unexpected token
compat-table/es6/generators.constructor.js: SyntaxError: Unexpected token
compat-table/es6/generators.expression.js: SyntaxError: Unexpected token
compat-table/es6/generators.no-new-this.js: SyntaxError: Unexpected token
compat-table/es6/generators.prototype-chain.js: SyntaxError: Unexpected token
compat-table/es6/generators.prototype.js: SyntaxError: Unexpected token
compat-table/es6/generators.return.js: SyntaxError: Unexpected token
compat-table/es6/generators.sending.js: SyntaxError: Unexpected token
compat-table/es6/generators.shorthand.class.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/generators.shorthand.computed.class.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/generators.shorthand.computed.js: SyntaxError: Unexpected token
compat-table/es6/generators.shorthand.js: SyntaxError: Unexpected token
compat-table/es6/generators.shorthand.no-constructor.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/generators.shorthand.string-keyed.js: SyntaxError: Unexpected token
compat-table/es6/generators.this.js: SyntaxError: Unexpected token
compat-table/es6/generators.throw.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-precedence.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.array.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.astral-string.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.generator.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.iterable-instance.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.iterable.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.iterator-closing-throw.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.iterator-closing.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.non-iterable-error.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.sparse-array.js: SyntaxError: Unexpected token
compat-table/es6/generators.yield-star.string.js: SyntaxError: Unexpected token
compat-table/es6/let.basic.js: SyntaxError: Unexpected token
compat-table/es6/let.block-scoped.js: SyntaxError: Unexpected token
compat-table/es6/let.for-in-shadow.js: SyntaxError: Unexpected token
compat-table/es6/let.for-iteration.js: SyntaxError: Unexpected token
compat-table/es6/let.for-loop.js: SyntaxError: Unexpected token
compat-table/es6/let.no-statement.js: SyntaxError: Unexpected token
compat-table/es6/let.shadow.js: SyntaxError: Unexpected token
compat-table/es6/let.strict.basic.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.block-scoped.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.for-in-shadow.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.for-iteration.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.for-loop.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.no-statement.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.shadow.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.strict.tdz.js: SyntaxError: The keyword 'let' is reserved
compat-table/es6/let.tdz.js: SyntaxError: Unexpected token
compat-table/es6/literals.binary.Number.js: OK
compat-table/es6/literals.binary.js: SyntaxError: Identifier directly after number
compat-table/es6/literals.object.computed-accessors.js: SyntaxError: Unexpected token
compat-table/es6/literals.object.computed-properties.js: SyntaxError: Unexpected token
compat-table/es6/literals.object.computed-shorthand-methods.js: SyntaxError: Unexpected token
compat-table/es6/literals.object.shorthand-methods.js: SyntaxError: Unexpected token
compat-table/es6/literals.object.shorthand-properties.js: SyntaxError: Unexpected token
compat-table/es6/literals.object.string-keyed-shorthand-methods.js: SyntaxError: Unexpected token
compat-table/es6/literals.octal.Number.js: OK
compat-table/es6/literals.octal.js: SyntaxError: Identifier directly after number
compat-table/es6/misc.Invalid-Date.js: OK
compat-table/es6/misc.Object.freeze.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.getOwnPropertyDescriptor.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.getOwnPropertyNames.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.getPrototypeOf.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.isExtensible.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.isFrozen.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.isSealed.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.keys.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.preventExtensions.primitives.js: TypeError: not an object
compat-table/es6/misc.Object.seal.primitives.js: TypeError: not an object
compat-table/es6/misc.Proxy.defineProperty.SetIntegrityLevel.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.defineProperty.Set.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.deleteProperty.Array.copyWithin.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.deleteProperty.Array.pop.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.deleteProperty.Array.reverse.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.deleteProperty.Array.shift.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.deleteProperty.Array.splice.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.deleteProperty.Array.unshift.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.getOwnPropertyDescriptor.Function.bind.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.getOwnPropertyDescriptor.Object.assign.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.getOwnPropertyDescriptor.Object.hasOwnProperty.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.getOwnPropertyDescriptor.Set.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.concat.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.from.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.iteration.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.pop.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.reverse.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.shift.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.splice.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Array.toString.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.ClassDefinitionEvaluation.js: SyntaxError: The keyword 'class' is reserved
compat-table/es6/misc.Proxy.get.CreateDynamicFunction.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.CreateListFromArrayLike.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Date.toJSON.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Error.toString.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.Function.bind.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.HasBinding.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/misc.Proxy.get.IteratorComplete.js: SyntaxError: Unexpected token
compat-table/es6/misc.Proxy.get.JSON.stringify.js: ReferenceError: 'Proxy' is not defined
