Metadata: {"arch":"arm64","console_log":"console.log","dist_size":211549,"engine":"bramblex","repository":"https://github.com/bramblex/jsjs.git","revision":"ab7133f7435acdf16a86473cbd36ab68d6195fba","revision_date":"2018-03-08"}
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: OK
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: OK
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: 'var implements' does not throw SyntaxError
es5/strict.this-primitive-not-coerced-in-accessors.js: OK
es5/strict.this-primitive-not-coerced.js: OK
es5/strict.this-undefined-in-function.js: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: OK
es5/this.thrown-function.js: OK
compat-table/es5/Array.isArray.js: OK
compat-table/es5/Array.prototype.every.js: OK
compat-table/es5/Array.prototype.filter.js: OK
compat-table/es5/Array.prototype.forEach.js: OK
compat-table/es5/Array.prototype.indexOf.js: OK
compat-table/es5/Array.prototype.lastIndexOf.js: OK
compat-table/es5/Array.prototype.map.js: OK
compat-table/es5/Array.prototype.reduceRight.js: OK
compat-table/es5/Array.prototype.reduce.js: OK
compat-table/es5/Array.prototype.some.js: OK
compat-table/es5/Array.prototype.sort.compareFn-type.js: OK
compat-table/es5/Array.prototype.sort.compareFn-undefined.js: OK
compat-table/es5/Array.prototype.unshift.return-count.js: OK
compat-table/es5/Date.now.js: OK
compat-table/es5/Date.prototype.toISOString.js: OK
compat-table/es5/Date.prototype.toJSON.js: OK
compat-table/es5/Function.prototype.bind.js: exception: [Error] [object Object], 'Function' 未定义
compat-table/es5/JSON.js: OK
compat-table/es5/Number.prototype.toExponential.no-throw-edge-cases.js: OK
compat-table/es5/Number.prototype.toExponential.rounds-properly.js: OK
compat-table/es5/Number.prototype.toExponential.throws-infinity.js: OK
compat-table/es5/Object.create.js: OK
compat-table/es5/Object.defineProperties.js: OK
compat-table/es5/Object.defineProperty.js: OK
compat-table/es5/Object.freeze.js: OK
compat-table/es5/Object.getOwnPropertyDescriptor.js: OK
compat-table/es5/Object.getOwnPropertyNames.js: OK
compat-table/es5/Object.getPrototypeOf.js: OK
compat-table/es5/Object.isExtensible.js: OK
compat-table/es5/Object.isFrozen.js: OK
compat-table/es5/Object.isSealed.js: OK
compat-table/es5/Object.keys.js: OK
compat-table/es5/Object.preventExtensions.js: OK
compat-table/es5/Object.seal.js: OK
compat-table/es5/String.property-access.js: OK
compat-table/es5/String.prototype.split.js: OK
compat-table/es5/String.prototype.trim.js: OK
compat-table/es5/annex-b.String.prototype.substr.js: OK
compat-table/es5/immutable-globals.Infinity.js: failed
compat-table/es5/immutable-globals.NaN.js: failed
compat-table/es5/immutable-globals.undefined.js: exception: undefined 未定义
compat-table/es5/literals.getter-accessors.js: OK
compat-table/es5/literals.reserved-words-properties.js: OK
compat-table/es5/literals.setter-accessors.js: OK
compat-table/es5/literals.trailing-comma-array.js: OK
compat-table/es5/literals.trailing-comma-object.js: OK
compat-table/es5/misc.Arguments.toStringTag.js: OK
compat-table/es5/misc.Function.apply.array-likes.js: OK
compat-table/es5/misc.Function.prototype.non-enumerable.js: exception: [Error] [object Object], 'Function' 未定义
compat-table/es5/misc.enumerable-shadow.js: exception: [Error] [object Object], 'Function' 未定义
compat-table/es5/misc.parseInt.ignores-leading-zeros.js: OK
compat-table/es5/misc.thrown-functions-this.js: OK
compat-table/es5/misc.unreserved-words.js: OK
compat-table/es5/misc.zero-width-identifiers.js: OK
compat-table/es5/strict.arguments-callee-error.js: OK
compat-table/es5/strict.arguments-caller-error.js: OK
compat-table/es5/strict.arguments-unmapped.js: OK
compat-table/es5/strict.assignment-eval-arguments-error.js: failed
compat-table/es5/strict.assignment-non-writable-error.js: failed
compat-table/es5/strict.assignment-unresolvable-error.js: failed
compat-table/es5/strict.delete-bindings-error.js: failed
compat-table/es5/strict.delete-non-configurable-error.js: OK
compat-table/es5/strict.eval-arguments-bindings-error.js: failed
compat-table/es5/strict.eval-no-bindings.js: failed
compat-table/es5/strict.function-caller-arguments-error.js: OK
compat-table/es5/strict.function-expr-matching-name-arg.js: OK
compat-table/es5/strict.legacy-octal-error.js: failed
compat-table/es5/strict.repeated-params-error.js: failed
compat-table/es5/strict.reserved-words.js: failed
compat-table/es5/strict.this-not-coerced-accessors.js: OK
compat-table/es5/strict.this-not-coerced-methods.js: OK
compat-table/es5/strict.this-undefined.js: failed
compat-table/es5/strict.with-error.js: failed
compat-table/es6/Array.Symbol.species.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Array.from.array-like.js: OK
compat-table/es6/Array.from.generator.js: SyntaxError: Unexpected token (9:26)
compat-table/es6/Array.from.iterable-instance.js: global 未定义
compat-table/es6/Array.from.iterable.js: global 未定义
compat-table/es6/Array.from.iterator-closing.js: global 未定义
compat-table/es6/Array.from.map.array-like.js: OK
compat-table/es6/Array.from.map.generator.js: SyntaxError: Unexpected token (9:26)
compat-table/es6/Array.from.map.iterable-instance.js: global 未定义
compat-table/es6/Array.from.map.iterable.js: global 未定义
compat-table/es6/Array.iterator-prototype-chain.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Array.of.js: OK
compat-table/es6/Array.prototype.Symbol.iterator.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Array.prototype.Symbol.unscopables.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Array.prototype.copyWithin.js: OK
compat-table/es6/Array.prototype.entries.js: OK
compat-table/es6/Array.prototype.fill.js: OK
compat-table/es6/Array.prototype.findIndex.js: OK
compat-table/es6/Array.prototype.find.js: OK
compat-table/es6/Array.prototype.keys.js: OK
compat-table/es6/Array.prototype.splice.js: OK
compat-table/es6/Array.prototype.values.js: OK
compat-table/es6/Date.prototype.Symbol.toPrimitive.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Function.name.accessor.js: TypeError: Cannot redefine property: foo
compat-table/es6/Function.name.bound.js: failed
compat-table/es6/Function.name.class-expression.js: SyntaxError: The keyword 'class' is reserved (10:9)
compat-table/es6/Function.name.class-object-method.js: SyntaxError: The keyword 'class' is reserved (10:17)
compat-table/es6/Function.name.class-prototype.js: SyntaxError: The keyword 'class' is reserved (10:2)
compat-table/es6/Function.name.class-statement.js: SyntaxError: The keyword 'class' is reserved (10:2)
compat-table/es6/Function.name.class-static.js: SyntaxError: The keyword 'class' is reserved (10:2)
compat-table/es6/Function.name.class-variable.js: SyntaxError: The keyword 'class' is reserved (10:12)
compat-table/es6/Function.name.configurable.js: OK
compat-table/es6/Function.name.expression.js: failed
compat-table/es6/Function.name.new-Function.js: exception: [Error] [object Object], 'Function' 未定义
compat-table/es6/Function.name.object-method.js: failed
compat-table/es6/Function.name.shorthand.js: SyntaxError: Unexpected token (10:15)
compat-table/es6/Function.name.shorthand.no-lexical.js: SyntaxError: Unexpected token (11:12)
compat-table/es6/Function.name.statement.js: failed
