Metadata: {"arch":"arm64","console_log":"print","dist_size":1190498961,"engine":"rpython-langjs","repository":"https://github.com/progval/rpython-langjs.git","revision":"d31b8ee3be4904200d64a6cbe12c8200f2c3aaf9","revision_date":"2017-10-01"}
es3/String.prototype.concat.js: OK
es3/String.prototype.localeCompare.js: TypeError: undefined is not a callable (localeCompare)
es3/String.prototype.match.generic.js: Syntax Error in: String.prototype.match.generic.js:5; var obj = new Number(12345);; ^; Error: ['EOF']
es3/String.prototype.match.js: Syntax Error in: String.prototype.match.js:7; var s1 = "abc123def";; ^
es3/String.prototype.replace.capture.js: Syntax Error in: String.prototype.replace.capture.js:31; var s4 = "$1,$2";; ^
es3/String.prototype.replace.extra.js: Syntax Error in: String.prototype.replace.extra.js:7; var s1 = "abc";; ^; Error: ['EOF']
es3/String.prototype.replace.generic.js: Syntax Error in: String.prototype.replace.generic.js:44; obj2.toString = function() { return "test123"; };; ^
es3/String.prototype.replace.regex.js: Syntax Error in: String.prototype.replace.regex.js:7; var s1 = "hello 123 world";; ^
es3/String.prototype.replace.str.js: TypeError: undefined is not a callable (replace)
es3/String.prototype.search.generic.js: Syntax Error in: String.prototype.search.generic.js:5; var obj = new Number(12345);; ^; Error: ['EOF']
es3/String.prototype.search.js: Syntax Error in: String.prototype.search.js:15; var s2 = "abc123def";; ^
es3/String.prototype.search.str.js: TypeError: undefined is not a callable (search)
es3/String.prototype.slice.generic.js: TypeError: W_Undefined.ToObject
es3/String.prototype.slice.js: TypeError: undefined is not a callable (slice)
es3/String.prototype.split.bugs.js: Syntax Error in: String.prototype.split.bugs.js:66; ^; Error: ['EOF']
es3/String.prototype.split.limit.js: split with limit 2 failed; split with limit 0 failed; split with limit 3 failed; split with limit 1 failed
es3/String.prototype.split.regex.js: Syntax Error in: String.prototype.split.regex.js:7; var s1 = "a1b2c3";; ^
es3/String.prototype.toLocaleLowerCase.js: TypeError: undefined is not a callable (toLocaleLowerCase)
es3/String.prototype.toLocaleUpperCase.js: TypeError: undefined is not a callable (toLocaleUpperCase)
es3/annex-b.String.prototype.substr.js: TypeError: undefined is not a callable (substr)
es3/do-while.js: OK
es3/function-expressions.IIFE.js: OK
es3/function-expressions.js: NotImplementedError
es3/global.EvalError.js: ReferenceError: EvalError is not defined
es3/global.RangeError.js: ReferenceError: RangeError is not defined
es3/global.RangeError.thrown.js: wrong exception for new Array with negative length; wrong exception for new Array with non-integer length; wrong exception for new Array with length >= 2^32; wrong exception for negative array length;...
es3/global.ReferenceError.js: ReferenceError: ReferenceError is not defined
es3/global.ReferenceError.thrown.js: wrong exception for undeclared variable; wrong exception for undeclared function; wrong exception for undeclared in expression; wrong exception for property access on undeclared
es3/global.SyntaxError.js: ReferenceError: SyntaxError is not defined
es3/global.SyntaxError.thrown.js: wrong exception type; wrong exception for unclosed string; wrong exception for invalid token
es3/global.TypeError.js: ReferenceError: TypeError is not defined
es3/global.TypeError.thrown.js: AttributeError: 'W__Object' object has no attribute 'Call'
es3/global.URIError.js: ReferenceError: URIError is not defined
es3/global.URIError.thrown.js: wrong exception for decodeURI incomplete escape; wrong exception for decodeURI invalid hex; wrong exception for decodeURI invalid UTF-8; wrong exception for decodeURIComponent incomplete escape; wrong...
es3/global.decodeURIComponent.js: ReferenceError: decodeURIComponent is not defined
es3/global.decodeURI.js: ReferenceError: decodeURI is not defined
es3/global.encodeURIComponent.js: ReferenceError: encodeURIComponent is not defined
es3/global.encodeURI.js: ReferenceError: encodeURI is not defined
es3/global.undefined.js: OK
es3/identifiers.unicode.js: Syntax Error in: identifiers.unicode.js:6; ^
es3/instanceof.js: OK
es3/in.js: OK
es3/labelled.break.js: VisitError: could not visit labelledstatement(Symbol('IDENTIFIERNAME', 'loop1'), iterationstatement(whiles(Symbol('__11_while', 'while'), relationalexpression(Symbol('IDENTIFIERNAME', 'x'), Symbol('__...
es3/labelled.continue.js: VisitError: could not visit labelledstatement(Symbol('IDENTIFIERNAME', 'loop1'), iterationstatement(whiles(Symbol('__11_while', 'while'), relationalexpression(Symbol('IDENTIFIERNAME', 'i'), Symbol('__...
es3/labelled.statements.js: VisitError: could not visit labelledstatement(Symbol('IDENTIFIERNAME', 'label1'), expressionstatement(assignmentexpression(Symbol('IDENTIFIERNAME', 'x'), Symbol('__5_=', '='), Symbol('DECIMALLITERAL',...
es3/literals.array.elisions.js: Syntax Error in: literals.array.elisions.js:6; ^; Error: ['EOF']
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: OK
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: Syntax Error in: literals.object.unicode.js:7; ^
es3/literals.regex.ambiguous.js: Syntax Error in: literals.regex.ambiguous.js:16; ^; Error: ['EOF']
es3/literals.regex.empty.js: Syntax Error in: literals.regex.empty.js:6; ^; Error: ['EOF']
es3/literals.regex.js: Syntax Error in: literals.regex.js:4; ^; Error: ['EOF']
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: Syntax Error in: regex.backref.js:7; ^
es3/regex.begin.js: Syntax Error in: regex.begin.js:7; ^; Error: ['EOF']
es3/regex.bracket.esc-b.js: Syntax Error in: regex.bracket.esc-b.js:5; ^
es3/regex.bracket.js: Syntax Error in: regex.bracket.js:8; ^; Error: ['EOF']
es3/regex.bracket.ranges.js: Syntax Error in: regex.bracket.ranges.js:8; ^; Error: ['EOF']
es3/regex.class.esc-d.js: Syntax Error in: regex.class.esc-d.js:9; ^
es3/regex.class.esc-s.js: Syntax Error in: regex.class.esc-s.js:9; ^
es3/regex.class.esc-w.js: Syntax Error in: regex.class.esc-w.js:9; ^
es3/regex.disjunction.js: Syntax Error in: regex.disjunction.js:6; ^; Error: ['EOF']
es3/regex.dot.js: Syntax Error in: regex.dot.js:7; ^; Error: ['EOF']
es3/regex.end.js: Syntax Error in: regex.end.js:7; ^; Error: ['EOF']
es3/regex.escape.control.js: Syntax Error in: regex.escape.control.js:7; ^
es3/regex.escape.hex.js: Syntax Error in: regex.escape.hex.js:7; ^
es3/regex.escape.js: Syntax Error in: regex.escape.js:8; ^
